id,company,role,location,industry,required_skills,duration_months,stipend
INT000,Aditya Birla,Marketing Associate,City_116,Education,"['SQL', 'Merchandising', 'Express', 'Data Engineering', 'Microfinance']",12,21544
INT001,Mahindra,Technical Support,City_168,Metals,"['Postman', 'Problem Solving']",6,23105
INT002,Tata Steel,Full Stack Developer,City_269,Finance,"['Powershell', 'ISO 27001']",3,5963
INT003,Bajaj,ML Engineer,City_172,Industry_014,"['Power BI', 'AutoCAD', 'STATA', 'PCB Design', 'Basic Computer Skills']",3,13008
INT004,Tata Steel,Content Writer,City_171,Roads & Highways,"['Documentation', 'Store Management', 'Digital Marketing', 'PCB Design', 'R']",12,18615
INT005,Cognizant,Software Developer,City_318,Industry_002,"['Logistics', 'Financial Modeling', 'Embedded Systems']",6,9388
INT006,Cognizant,Data Analyst,Vijayawada,CleanTech,"['Node.js', 'SPSS', 'Basic Computer Skills', 'Solar Installation', 'CSR Implementation', 'PLC']",6,8566
INT007,L&T,Business Analyst,City_116,Public Sector,"['MS Word', 'ISO 9001', 'HubSpot', 'Go', 'Electrical Wiring']",3,18345
INT008,HCL,Cloud Engineer,Davanagere,KPO,"['Raspberry Pi', 'Critical Thinking', 'GCP', 'Node.js', 'Product Management', 'Automation Testing']",6,15983
INT009,ICICI Bank,Copywriter,Vijayawada,Agriculture,"['NoSQL', 'Medical Coding', 'AML', 'Insurance Underwriting']",6,9261
INT010,L&T,Recruiter,City_209,Industry_010,"['Investment Research', 'Masonry']",3,16058
INT011,HCL,Financial Analyst,City_203,Handloom,"['ServiceNow', 'AML', 'CSS', 'Creativity', 'Nursing Assistance']",3,8817
INT012,Tata Steel,DevOps Engineer,City_219,Industry_014,"['HTML', 'Cybersecurity']",3,22047
INT013,Cognizant,UI/UX Designer,City_185,Metals,"['IoT', 'Machine Learning', 'Social Work', 'Go', 'Operations']",3,19930
INT014,Infosys,Marketing Associate,Kaithal,Automotive,"['NGO Program Support', 'Figma', 'Jira']",6,16658
INT015,TCS,Content Strategist,City_221,Public Health,"['Bash', 'Labor Laws', '3D Printing', 'Excel', 'Presentation', 'Plumbing']",6,18909
INT016,Maruti Suzuki,Recruiter,City_330,Tourism,"['ISO 27001', 'Basic Computer Skills', 'Documentation', 'SEM', 'Risk Assessment', 'HTML']",3,12933
INT017,HDFC Bank,Mobile App Developer,City_284,Technology,"['Manual Testing', 'PowerApps', 'Cybersecurity', 'HubSpot', 'Copywriting', 'Accessibility']",6,23031
INT018,Tata Steel,Mobile App Developer,City_271,Hospitality,"['CSS', 'UI/UX', 'Design Systems', 'GIS', 'Tally']",12,9067
INT019,TCS,ML Engineer,City_342,Oil & Gas,"['Phlebotomy', 'Nursing Assistance', 'JavaScript', 'IoT', 'React']",12,17066
INT020,Bajaj,Operations Associate,Allahabad,AgriTech,"['3D Printing', 'Bash', 'JavaScript', 'Retail Operations']",6,13363
INT021,Bajaj,Customer Support,Bokaro,Poultry,"['Telemedicine Support', '3D Printing', 'Carpentry', 'Plumbing', 'Talent Acquisition', 'NGO Program Support']",12,23766
INT022,Maruti Suzuki,Content Writer,City_337,AgriTech,"['Wind Turbine Basics', 'Raspberry Pi', 'Field Survey', 'Arduino', 'AML', 'Store Management']",12,19948
INT023,Infosys,Mobile App Developer,City_268,AgriTech,"['MS PowerPoint', 'Power Automate', 'Investment Research']",12,17586
INT024,Aditya Birla,Growth Marketer,City_292,Banking,"['Lead Generation', 'CAM', 'Statistics']",6,5697
INT025,Maruti Suzuki,HR Assistant,City_159,CSR,"['ServiceNow', 'Cybersecurity', 'GitHub', 'Networking', 'Excel', 'Powershell']",3,14647
INT026,Maruti Suzuki,DevOps Engineer,City_221,Poultry,"['CAD', 'Vue', 'Cold Chain', 'Carpentry', 'EHR Systems', 'TypeScript']",12,20498
INT027,Wipro,Content Writer,City_328,Aerospace,"['Social Work', 'Recruitment', 'Rust', 'Wind Turbine Basics', 'Quality Assurance']",3,12074
INT028,HDFC Bank,Recruiter,City_117,Social Welfare,"['Adobe XD', 'Field Sales', 'HACCP', 'UAV Operation', 'Raspberry Pi', 'Taxation']",12,12994
INT029,Cognizant,Growth Marketer,City_267,Hospitality,"['Rural Outreach', 'JavaScript', 'Digital Marketing', 'Python', 'Customer Relationship', 'Cold Chain']",12,8860
INT030,Wipro,Mobile App Developer,City_290,Advertising,"['HubSpot', 'Rust', 'AutoCAD', 'Power Automate', 'GCP']",6,24349
INT031,Maruti Suzuki,Digital Marketer,City_279,Industry_001,"['Labor Laws', 'UAV Operation', 'Technical Writing']",3,23042
INT032,Reliance,Operations Associate,City_194,Renewable Energy,"['Masonry', 'Node.js', 'Figma', 'C', 'CAD']",6,18957
INT033,Infosys,Automation Tester,Malegaon,Industry_013,"['MS Word', 'Google Analytics', '3D Printing']",6,8938
INT034,HDFC Bank,Content Strategist,Bhiwani,Industry_014,"['Inventory Management', 'Typing', 'DevOps', 'Product Management']",12,15182
INT035,Tech Mahindra,HR Assistant,City_140,Research,"['Rust', 'Linux']",6,12331
INT036,TCS,Software Developer,City_342,Public Health,"['Arduino', 'Logistics', 'Supply Chain', 'Flask', 'Vue']",3,17687
INT037,L&T,UI/UX Designer,Gwalior,Transportation,"['Embedded Systems', 'CRM', 'Go']",3,7169
INT038,Reliance,HR Assistant,Srinagar,Advertising,"['Data Analysis', 'Content Writing', 'Masonry', 'IoT']",3,15531
INT039,TCS,Finance Intern,City_209,Industry_014,"['Masonry', 'Customer Service', 'Penetration Testing']",12,19526
INT040,Aditya Birla,Copywriter,City_322,Tourism,"['Store Management', 'Financial Modeling']",3,14168
INT041,HDFC Bank,Software Developer,City_254,Textiles,"['Arduino', 'Digital Marketing', 'Logistics', 'Kubernetes', 'Vue']",12,19713
INT042,Cognizant,DevOps Engineer,City_207,Industry_012,"['HACCP', 'MATLAB', 'PCB Design', 'AWS', 'Customer Relationship']",3,23201
INT043,Maruti Suzuki,Data Scientist,City_252,Industry_007,"['Operations', 'React', 'Kubernetes', 'CAM', 'EHR Systems']",12,7188
INT044,Maruti Suzuki,Technical Support,City_135,Healthcare,"['Basic Computer Skills', 'FSSAI Compliance', 'MS Excel', 'Documentation', 'Spring']",3,11502
INT045,HCL,Finance Intern,City_119,Agriculture,"['Google Analytics', 'Auditing', 'Cashier']",3,11639
INT046,ICICI Bank,Data Engineer,City_206,Pharmaceuticals,"['Data Entry', 'Data Analysis', 'Postman', 'C++', 'Vulnerability Assessment']",3,8331
INT047,Infosys,Supply Chain Analyst,Kurnool,Technology,"['Power BI', 'Adobe XD', 'Microfinance', 'Payroll', 'Accessibility']",12,15412
INT048,Wipro,Finance Intern,City_254,Panchayati Raj,"['Customer Relationship', 'GST', 'SPSS', 'Networking', 'Figma', 'Manual Testing']",3,22864
INT049,HDFC Bank,Business Analyst,City_136,Entertainment,"['Merchandising', 'Git']",12,15584
INT050,TCS,DevOps Engineer,City_203,AgriTech,"['CSS', 'NLP', 'Compliance', 'Requirements Gathering', 'Digital Marketing', 'Angular']",3,19802
INT051,HCL,Automation Tester,City_129,Pharmaceuticals,"['Lean', 'MS Excel', 'Excel', 'Azure', 'Postman']",12,21372
INT052,Aditya Birla,HR Assistant,South Dumdum,Warehousing,"['C', 'Kubernetes']",12,8023
INT053,Cognizant,Financial Analyst,City_302,Rural Development,"['Statistics', 'Plumbing', 'Cybersecurity']",6,22020
INT054,Cognizant,Copywriter,South Dumdum,Food & Beverage,"['HubSpot', 'Claims Processing', 'Public Speaking', 'Power Automate', 'Insurance Underwriting', 'Pharmacy Assistance']",12,19350
INT055,HCL,Technical Support,City_219,Public Sector,"['Project Management', 'Tableau', 'Adaptability', 'GitLab', 'Data Entry', 'Packaging']",6,18383
INT056,TCS,Marketing Associate,City_118,Food & Beverage,"['KYC', 'TypeScript', 'Teamwork', 'SharePoint', 'EHR Systems']",12,22845
INT057,Tata Steel,QA Engineer,City_220,Poultry,"['Selenium', 'ISO 9001']",12,7001
INT058,Reliance,Full Stack Developer,City_255,Non-Profit,"['Creativity', 'PowerApps', 'GCP', 'ServiceNow', 'C']",6,5073
INT059,Reliance,Recruiter,Tirunelveli,Transportation,"['Bash', 'Canva', 'Masonry']",6,15744
INT060,Aditya Birla,Cloud Engineer,Guwahati,Dairy,"['C', 'Community Mobilization', 'CRM', 'Typing']",6,8437
INT061,Aditya Birla,Project Manager,City_208,CSR,"['Insurance Underwriting', 'Node.js', 'Customer Service']",12,10708
INT062,Infosys,Operations Associate,Mangalore,Water & Sanitation,"['Procurement', 'Selenium', 'Rural Outreach', 'PCB Design', 'HTML', 'CATIA']",12,22506
INT063,Maruti Suzuki,Automation Tester,City_138,Non-Profit,"['Carpentry', 'IoT', 'Typing', 'SEO', 'Power Automate']",12,5529
INT064,Wipro,DevOps Engineer,Ludhiana,Environmental Services,"['Raspberry Pi', 'Nursing Assistance']",12,12530
INT065,Aditya Birla,Content Strategist,City_278,Handicrafts,"['Cashier', 'Nursing Assistance', 'Scrum', 'Critical Thinking', 'SEM', 'GIS']",3,14769
INT066,Cognizant,Supply Chain Analyst,City_173,Industry_009,"['Adaptability', 'SolidWorks', 'Masonry', 'Flask', 'GIS', 'Data Engineering']",6,16363
INT067,Mahindra,QA Engineer,City_280,Aviation,"['Microfinance', 'NoSQL', 'Nursing Assistance', 'Surveying', 'Employee Engagement']",3,16696
INT068,Cognizant,Cloud Engineer,City_121,Panchayati Raj,"['Manual Testing', 'Supply Chain', 'ISO 9001', 'Penetration Testing', 'Typing']",12,11119
INT069,TCS,Data Engineer,City_316,Leather,"['Bookkeeping', 'PowerApps', 'Express', 'VLSI Basics']",3,20119
INT070,Mahindra,Supply Chain Analyst,City_273,Ports & Shipping,"['Typing', 'DevOps', 'Carpentry', 'PLC', 'Labor Laws']",12,21293
INT071,Tata Steel,Full Stack Developer,Maheshtala,Defense,"['Creativity', 'PLC', 'Penetration Testing', 'Teamwork']",12,6251
INT072,Maruti Suzuki,QA Engineer,City_273,Waste Management,"['Python', 'Inventory Management', 'Wind Turbine Basics', 'Powershell', 'Packaging', 'Plumbing']",3,17080
INT073,TCS,Cybersecurity Analyst,City_138,Manufacturing,"['Rural Outreach', 'Supply Chain', 'Bookkeeping', 'Store Management']",12,15874
INT074,Aditya Birla,Finance Intern,City_292,Retail,"['FSSAI Compliance', 'SPSS']",3,14161
INT075,Cognizant,Recruiter,Nadiad,Industry_014,"['Tally', 'Technical Writing', 'Scrum', 'Bash']",12,17883
INT076,Mahindra,Operations Associate,City_202,Courier,"['Accounting', 'Embedded Systems', 'Content Writing']",3,13081
INT077,Aditya Birla,Growth Marketer,Nellore,Industry_002,"['KYC', 'PLC', 'Technical Writing', 'ServiceNow', 'Logistics', 'Adobe XD']",3,22897
INT078,Cognizant,Data Engineer,City_294,Pharmaceuticals,"['Warehouse Operations', 'Linux', 'Confluence', 'Data Analysis']",12,15743
INT079,Wipro,Recruiter,City_173,Industry_007,"['GitLab', 'HubSpot', 'Supply Chain', 'Linux', 'PLC']",3,18226
INT080,Bajaj,Product Manager,City_114,Climate & Sustainability,"['IoT', 'Power Automate', 'Pharmacy Assistance', 'Financial Modeling', 'Statistics', 'Canva']",12,8480
INT081,L&T,Cybersecurity Analyst,City_201,Oil & Gas,"['Go', 'GIS', 'Public Speaking', 'Creativity']",6,17657
INT082,Tech Mahindra,Recruiter,City_167,Healthcare,"['Inside Sales', 'Rural Outreach', 'Presentation', 'CSR Implementation', 'Packaging', 'SEO']",6,12346
INT083,TCS,UI/UX Designer,City_157,Research,"['R', 'FSSAI Compliance', 'Adaptability', 'PLC', 'Express', 'Power BI']",6,24628
INT084,Mahindra,Cloud Engineer,Rajkot,Courier,"['Telemedicine Support', 'CRM', 'SCADA', 'Accessibility', 'Technical Writing', 'Zoho']",3,7818
INT085,Tech Mahindra,Digital Marketer,Palwal,Dairy,"['Machine Learning', 'Field Sales', 'Content Writing', 'Selenium']",3,15707
INT086,Tech Mahindra,Marketing Associate,Hisar,Pharmaceuticals,"['Store Management', 'GitHub', 'Investment Research']",12,12027
INT087,Tech Mahindra,Copywriter,City_244,Industry_008,"['NLP', 'Accessibility', 'L&D', 'Manual Testing', 'Sales', 'CSS']",3,13708
INT088,Tech Mahindra,DevOps Engineer,City_330,Pharmaceuticals,"['CSR Implementation', 'ServiceNow', 'Machine Learning', 'NoSQL']",6,10810
INT089,Mahindra,Content Writer,City_316,Disaster Management,"['Medical Coding', 'Electronics Repair']",12,20495
INT090,L&T,Data Analyst,City_310,Industry_008,"['Rural Outreach', 'ISO 9001', 'Java']",6,16828
INT091,Wipro,Product Manager,City_264,Disaster Management,"['NGO Program Support', 'Finance', 'Inventory Management', 'Kubernetes', 'AWS', 'Lead Generation']",12,19029
INT092,Reliance,Data Analyst,City_167,Industry_013,"['Critical Thinking', 'Recruitment', 'ServiceNow', 'Rural Outreach', 'Automation Testing', 'MS PowerPoint']",6,14159
INT093,HDFC Bank,Full Stack Developer,Bellary,Hospitality,"['Telemedicine Support', 'Salesforce', 'Time Management', 'KYC', 'HACCP']",6,22738
INT094,Aditya Birla,Marketing Associate,City_302,Handloom,"['Zoho', 'Sales', 'SharePoint', 'Retail Operations']",12,14438
INT095,Wipro,HR Assistant,Noida,Food Processing,"['R', 'Data Engineering', 'Nursing Assistance', 'L&D', 'CRM', 'Go']",3,5205
INT096,Cognizant,Data Analyst,Nashik,Real Estate,"['Tally', 'Solar Installation', 'Graphic Design', 'Electrical Wiring']",12,12605
INT097,Infosys,Growth Marketer,City_122,Defense,"['Field Sales', 'Sales']",3,11827
INT098,TCS,Marketing Associate,City_175,Railways,"['Customer Service', 'Vulnerability Assessment']",12,18948
INT099,L&T,Network Engineer,Shimoga,Industry_002,"['Digital Marketing', 'Social Media']",6,22033
INT100,L&T,Supply Chain Analyst,City_197,Metals,"['Welding', 'Cashier', 'Public Speaking', 'Azure', 'Leadership', 'Phlebotomy']",3,18863
INT101,Mahindra,Mobile App Developer,City_327,Textiles,"['Wind Turbine Basics', 'HR', 'DevOps', 'Risk Assessment']",3,9251
INT102,ICICI Bank,Full Stack Developer,City_264,Industry_009,"['Financial Modeling', 'SEO', 'ISO 27001']",3,22230
INT103,HCL,Customer Support,Aizawl,Industry_005,"['Excel', 'Claims Processing', 'Cloud', 'Networking', 'Flask', 'STATA']",3,24876
INT104,Wipro,Mobile App Developer,City_331,Technology,"['Carpentry', 'Deep Learning', 'Django', 'GST']",12,5265
INT105,Cognizant,Data Scientist,City_267,Banking,"['Documentation', 'Public Speaking', 'Docker', 'Vulnerability Assessment', 'Cashier']",12,20177
INT106,ICICI Bank,Software Developer,City_273,E-commerce,"['Warehouse Operations', 'Creativity', 'Telemedicine Support', 'Machine Learning', 'Food Safety']",6,10798
INT107,Maruti Suzuki,Cloud Engineer,City_180,Railways,"['Inside Sales', 'Confluence', 'Risk Assessment', 'Taxation', 'CAD']",12,13704
INT108,Mahindra,DevOps Engineer,City_195,Real Estate,"['SQL', 'Field Sales', 'Azure', 'Welding', 'Deep Learning', 'Time Management']",12,19862
INT109,Reliance,Mobile App Developer,City_337,MSME,"['Store Management', 'Statistics', 'Logistics']",3,23001
INT110,Tech Mahindra,Cloud Engineer,City_226,Aerospace,"['GitHub', 'Flask', 'JMeter', 'Pharmacy Assistance', 'Figma']",3,19512
INT111,Maruti Suzuki,Cybersecurity Analyst,Jhajjar,CSR,"['Powershell', 'Rust', 'Field Sales', 'Bash', 'GitHub', 'CI/CD']",12,23575
INT112,Cognizant,Supply Chain Analyst,Sirsa,Industry_009,"['Git', 'Computer Vision', 'Insurance Underwriting', 'L&D', 'Field Sales']",12,24175
INT113,Infosys,QA Engineer,City_156,Non-Profit,"['AutoCAD', 'Azure', 'Accessibility', 'Linux', 'Field Sales', 'Surveying']",6,13012
INT114,Maruti Suzuki,Operations Associate,City_277,BPO/ITES,"['CATIA', 'Branding', 'Technical Writing', 'Recruitment']",3,21026
INT115,Tata Steel,QA Engineer,City_238,Industry_009,"['Adobe XD', 'Kubernetes', 'Logistics', 'SEM', 'Agile']",3,23711
INT116,ICICI Bank,Project Manager,City_130,Food & Beverage,"['Embedded Systems', 'Cashier', 'Merchandising', 'Tableau', 'Bash']",6,24779
INT117,Tech Mahindra,Full Stack Developer,City_299,Textiles,"['Powershell', '3D Printing']",3,19422
INT118,Infosys,Cloud Engineer,Srinagar,Environmental Services,"['Food Safety', 'PCB Design', 'Six Sigma']",12,21308
INT119,Tata Steel,ML Engineer,Sirsa,Metro Rail,"['AWS', 'SCADA', 'CATIA', 'Creativity']",3,9281
INT120,Wipro,Software Developer,City_346,Industry_011,"['Cloud', 'Zoho']",6,18013
INT121,Tata Steel,Customer Support,Varanasi,MSME,"['GitHub', 'NoSQL', 'CSS']",6,23160
INT122,Mahindra,Supply Chain Analyst,City_239,Social Welfare,"['Critical Thinking', 'CNC', 'Employee Engagement', 'Finance', 'Pharmacy Assistance', 'ISO 27001']",12,17196
INT123,Aditya Birla,HR Assistant,City_183,Warehousing,"['Solar Installation', 'MS Excel', 'Logistics']",3,6325
INT124,HCL,Software Developer,City_143,Food Processing,"['Supply Chain', 'GIS', 'Data Analysis']",12,23803
INT125,ICICI Bank,ML Engineer,City_236,Telecommunications,"['Kubernetes', 'ISO 27001', 'Store Management', '3D Printing']",3,5748
INT126,Maruti Suzuki,DevOps Engineer,City_330,Food & Beverage,"['PowerApps', 'Store Management', 'Electrical Wiring']",12,16411
INT127,Aditya Birla,Software Developer,Hubli–Dharwad,Food Processing,"['ISO 9001', 'Requirements Gathering', 'Surveying']",12,21756
INT128,HCL,Data Analyst,City_314,Courier,"['PLC', 'Recruitment']",6,7708
INT129,HCL,Automation Tester,City_304,Ports & Shipping,"['IoT', 'Tableau']",3,18035
INT130,TCS,QA Engineer,Udaipur,Industry_008,"['Tableau', 'ISO 27001', 'Docker']",3,20084
INT131,Reliance,Finance Intern,City_339,Hospitality,"['Tableau', 'IoT']",12,7924
INT132,Infosys,ML Engineer,City_196,Poultry,"['MATLAB', 'Bash']",3,8963
INT133,Bajaj,Network Engineer,Visakhapatnam,Leather,"['Merchandising', 'HubSpot', 'UAV Operation']",12,22339
INT134,Maruti Suzuki,Finance Intern,City_128,Courier,"['Risk Assessment', 'Store Management', 'UI/UX', 'NoSQL', 'Content Writing', '3D Printing']",3,19137
INT135,Reliance,Marketing Associate,Kurukshetra,Rural Development,"['UAV Operation', 'GitLab']",6,14878
INT136,Maruti Suzuki,HR Assistant,Jalandhar,Real Estate,"['GitLab', 'Computer Vision', 'Deep Learning', 'Digital Marketing']",3,23297
